# sec(z), Tsys/Tatm, Tr, fit
3.76568 0.23419 44.66147 0.18757
3.78970 0.12696 12.34914 0.18806
3.81404 0.26748 54.35879 0.18857
3.83871 0.21398 38.16070 0.18907
3.86370 0.15951 21.67226 0.18959
3.88904 0.19637 32.57584 0.19011
3.91473 0.18863 30.10146 0.19065
3.94076 0.19897 33.04718 0.19118
3.96716 0.22942 42.02351 0.19173
3.99393 0.19370 31.14616 0.19228
4.02107 0.15385 19.02924 0.19284
4.04860 0.21000 35.70759 0.19341
4.07652 0.15493 19.01841 0.19399
4.10484 0.17966 26.27047 0.19457
4.13357 0.19537 30.80942 0.19517
4.16271 0.17600 24.82337 0.19577
4.19228 0.22137 38.25816 0.19638
4.22229 0.19354 29.72873 0.19700
4.25275 0.14733 15.68364 0.19763
4.28366 0.15179 16.83371 0.19827
4.31503 0.19670 30.11985 0.19891
4.34689 0.20001 30.92164 0.19957
4.37923 0.16105 19.03863 0.20024
4.41206 0.20604 32.34078 0.20092
4.44541 0.20981 33.27159 0.20161
4.47928 0.26147 48.56444 0.20231
4.51368 0.22229 36.60439 0.20302
4.54863 0.24047 41.84933 0.20374
4.58414 0.13397 9.68693 0.20447
4.62023 0.16509 18.80568 0.20522
4.65690 0.27409 51.28479 0.20598
4.69417 0.19352 26.89155 0.20675
4.73205 0.23738 39.82242 0.20753
4.77057 0.18445 23.71300 0.20833
4.80973 0.19178 25.67503 0.20913
4.84956 0.21130 31.29366 0.20996
4.89007 0.23747 38.89976 0.21079
4.93128 0.22482 34.85726 0.21165
4.97320 0.22625 35.03600 0.21251
5.01585 0.23886 38.56216 0.21339
5.05926 0.15893 14.32393 0.21429
5.10344 0.23454 36.74007 0.21520
5.14842 0.18526 21.68679 0.21613
5.19421 0.19245 23.57074 0.21708
5.24084 0.23120 34.91396 0.21804
5.28833 0.17972 19.18521 0.21902
5.33671 0.22923 33.74975 0.22002
5.38600 0.26192 43.26062 0.22104
5.43622 0.22874 33.00521 0.22208
5.48740 0.24955 38.94154 0.22313
5.53958 0.25488 40.22794 0.22421
5.59277 0.24621 37.30536 0.22531
5.64701 0.19549 21.76513 0.22643
5.70234 0.27232 44.48199 0.22757
