# sec(z), Tsys/Tatm, Tr, fit
1.66938 0.09971 16.89753 0.14185
1.67329 0.12851 25.51394 0.14193
1.67722 0.14937 31.74910 0.14202
1.68117 0.13633 27.81130 0.14211
1.68515 0.19206 44.50750 0.14219
1.68915 0.13296 26.75425 0.14228
1.69318 0.10354 17.90421 0.14237
1.69723 0.13788 28.17941 0.14245
1.70130 0.14777 31.12261 0.14254
1.70540 0.14784 31.11832 0.14263
1.70953 0.12084 22.99624 0.14272
1.71368 0.14598 30.51337 0.14281
1.71785 0.11585 21.44734 0.14290
1.72205 0.10860 19.24661 0.14300
1.72628 0.17014 37.68401 0.14309
1.73053 0.16961 37.49923 0.14318
1.73481 0.14573 30.31037 0.14327
1.73911 0.13636 27.47322 0.14337
1.74345 0.12962 25.42603 0.14346
1.74781 0.17993 40.49256 0.14356
1.75219 0.15110 31.81548 0.14365
1.75661 0.09201 14.06405 0.14375
1.76105 0.13544 27.06592 0.14384
1.76552 0.10057 16.57723 0.14394
1.77001 0.11182 19.92591 0.14404
1.77454 0.10922 19.11796 0.14414
1.77910 0.15976 34.25428 0.14424
1.78368 0.16492 35.77253 0.14434
1.78829 0.16664 36.26295 0.14444
1.79293 0.16963 37.13040 0.14454
1.79761 0.10607 18.03477 0.14464
1.80231 0.12442 23.51304 0.14474
1.80704 0.12334 23.16104 0.14485
1.81180 0.14896 30.81703 0.14495
1.81659 0.15753 33.35947 0.14505
1.82142 0.19064 43.26262 0.14516
1.82627 0.15291 31.91398 0.14527
1.83116 0.15434 32.31433 0.14537
1.83608 0.21541 50.60695 0.14548
1.84103 0.19528 44.53744 0.14559
1.84601 0.11851 21.47738 0.14569
1.85103 0.14515 29.43757 0.14580
1.85608 0.13052 25.01947 0.14591
1.86116 0.13173 25.35090 0.14602
1.86627 0.15456 32.16921 0.14614
1.87142 0.14637 29.68124 0.14625
1.87661 0.14006 27.75737 0.14636
1.88183 0.14970 30.61775 0.14647
1.88708 0.09792 15.05330 0.14659
1.89237 0.10915 18.39053 0.14670
1.89769 0.17416 37.86198 0.14682
1.90305 0.22359 52.65752 0.14694
1.90845 0.16780 35.88870 0.14705
1.91388 0.17117 36.86655 0.14717
1.91935 0.14798 29.87931 0.14729
1.92486 0.16253 34.20983 0.14741
1.93040 0.14448 28.76065 0.14753
1.93598 0.15201 30.98849 0.14765
1.94160 0.11926 21.12812 0.14778
1.94726 0.16722 35.48341 0.14790
1.95296 0.16964 36.17276 0.14802
1.95870 0.18024 39.31846 0.14815
1.96448 0.16311 34.14673 0.14827
1.97029 0.17088 36.44365 0.14840
1.97615 0.10602 16.94870 0.14853
1.98205 0.16086 33.36496 0.14866
1.98799 0.10863 17.66039 0.14879
1.99398 0.10894 17.71784 0.14892
2.00000 0.13481 25.44343 0.14905
2.00607 0.17694 38.04659 0.14918
2.01218 0.13003 23.93662 0.14931
2.01833 0.17312 36.82457 0.14945
2.02453 0.11676 19.88049 0.14958
2.03077 0.06141 3.23736 0.14972
2.03706 0.17890 38.44687 0.14986
